publicID,timestamp,probNum,energy,score
0132,20180723155737,FA003,7090702,3818
0027,20180723070658,FA003,7211142,3815
0042,20180721185323,FA003,7738156,3800
0071,20180723154937,FA003,7807264,3798
0106,20180723154336,FA003,7930816,3794
0145,20180723155717,FA003,8002372,3792
0130,20180723153439,FA003,8053376,3791
0080,20180723155417,FA003,8146712,3788
0165,20180723153848,FA003,8290820,3784
0117,20180723052339,FA003,8458324,3780
0074,20180723153607,FA003,8578396,3776
0159,20180721213933,FA003,8963520,3765
0179,20180723154358,FA003,9034904,3763
0039,20180723155710,FA003,9083328,3762
0136,20180723142634,FA003,9250374,3757
0160,20180723152650,FA003,9443276,3752
0049,20180723095517,FA003,9515320,3750
0184,20180723154301,FA003,9659820,3746
0088,20180723142702,FA003,10228334,3730
0131,20180723155642,FA003,10308292,3728
0046,20180723044609,FA003,10428844,3724
0144,20180723153516,FA003,10428080,3724
0022,20180723151615,FA003,10788772,3714
0112,20180723153458,FA003,12109848,3677
0164,20180723012316,FA003,12277876,3672
0069,20180723150932,FA003,12301820,3671
0154,20180723102945,FA003,12325880,3671
0015,20180723053956,FA003,12541880,3665
0173,20180723023324,FA003,12638140,3662
0181,20180723154411,FA003,12782776,3658
0127,20180723023247,FA003,12828220,3657
0114,20180723092504,FA003,12998564,3652
0183,20180723093537,FA003,13575700,3636
0047,20180723101152,FA003,13911248,3626
0034,20180723134814,FA003,14319588,3615
0091,20180723150300,FA003,19916716,3457
0185,20180723052809,FA003,21052248,3425
0103,20180723153601,FA003,21646300,3409
0113,20180721191826,FA003,25753664,3293
0116,20180723074448,FA003,26072668,3284
0033,20180723155926,FA003,37023628,2976
0108,20180723153123,FA003,69375644,2066
0169,20180723152757,FA003,94931360,1348
0002,20180723153731,FA003,107172484,1003
0177,20180722214835,FA003,121429900,602
0084,20180722223732,FA003,124382068,519
0004,20180723155005,FA003,130502624,347
0011,20180723155422,FA003,142863608,0
0024,20180723155922,FA003,142863608,0
0052,20180723155343,FA003,142863608,0
0082,20180723125703,FA003,142863608,0
0105,20180723020528,FA003,142863608,0
0110,20180723050816,FA003,142863608,0
0135,20180723120406,FA003,142863608,0
0175,20180723155314,FA004,1195558,4000
0140,20180723150949,FA004,1392258,3999
0170,20180723134726,FA004,1362136,3999
0037,20180723155547,FA004,1534540,3998
0059,20180723145840,FA004,2483688,3995
0062,20180723154940,FA004,2528864,3995
0013,20180723152137,FA004,2877218,3993
0137,20180723155709,FA004,3127268,3992
0111,20180723155357,FA004,3580636,3991
0107,20180723151456,FA004,3694404,3990
0073,20180723155649,FA004,4357456,3988
0121,20180723145919,FA004,4395052,3988
0099,20180723155515,FA004,4622870,3987
0156,20180723154403,FA004,5567672,3984
0178,20180723152435,FA004,5522382,3984
0028,20180723154252,FA004,5876934,3982
0093,20180723145453,FA004,6863340,3979
0005,20180723154315,FA004,7386906,3977
0085,20180723152918,FA004,7496216,3977
0100,20180723155813,FA004,8295644,3974
0007,20180723155932,FA004,8644454,3972
0012,20180723095148,FA004,9288370,3970
0180,20180723012939,FA004,9711456,3968
0155,20180723155605,FA004,10719492,3965
